"away_team_id","wins","games","dogscore"
9906,3,23,0.130434782608696
9908,10,62,0.161290322580645
9910,9,39,0.230769230769231
9911,6,28,0.214285714285714
9912,1,15,0.0666666666666667
9925,1,1,1
9927,8,55,0.145454545454545
9938,5,33,0.151515151515152
9941,15,71,0.211267605633803
9976,4,32,0.125
9984,7,53,0.132075471698113
9985,3,14,0.214285714285714
9986,9,57,0.157894736842105
9987,3,25,0.12
9989,3,48,0.0625
9991,6,20,0.3
9993,5,39,0.128205128205128
9994,9,48,0.1875
9996,1,7,0.142857142857143
9997,9,46,0.195652173913043
9998,3,29,0.103448275862069
9999,3,29,0.103448275862069
10000,11,42,0.261904761904762
10001,7,56,0.125
10003,12,54,0.222222222222222
10167,12,71,0.169014084507042
10172,7,46,0.152173913043478
10189,4,23,0.173913043478261
